username,timestamp,quantity,foodName,vendorName
ryanpond21,2017-12-09 20:30:00.000,1,Naan,Tandoor
ryanpond21,2017-12-08 03:30:01.001,1,Breakfast Burrito,Divinity Cafe 
ryanpond21,2017-12-08 11:00:00.202,1,Apple and Brie Crepe,Cafe
ryanpond21,2017-12-07 03:20:30.003,1,Cinnamon Sugar Crepe,Cafe
ryanpond21,2017-12-07 02:00:00.404,1,Nutella Crepe,Cafe
ryanpond21,2017-12-06 00:00:00.305,1,Mortys Reuben,Cafe Edens
ryanpond21,2017-12-06 10:00:00.206,1,Salmon Burger,Cafe Edens
ryanpond21,2017-12-05 00:00:00.037,1,The Godfather,Cafe Edens
ryanpond21,2017-12-05 02:00:00.408,1,Chopped Mexican Salad,Cafe Edens
ryanpond21,2017-12-04 00:00:00.059,1,California Club Salad,Cafe Edens
ryanpond21,2017-12-04 00:00:00.011,1,Caesar Salad,Cafe Edens
ryanpond21,2017-11-23 00:00:30.011,1,Quesadilla,Cafe Edens
ryanpond21,2017-11-29 00:00:01.012,1,The Haystack,Cafe Edens
ryanpond21,2017-11-07 00:10:00.013,1,Chopped Mexican Salad,Cafe Edens
ryanpond21,2017-11-07 10:00:10.014,1,California Club Salad,Cafe Edens
ryanpond21,2017-11-07 11:00:00.115,1,Caesar Salad,Cafe Edens
ryanpond21,2017-11-10 00:10:00.016,1,Quesadilla,Cafe Edens
ryanpond21,2017-11-10 00:00:11.017,1,Pancakes,Cafe Edens
ryanpond21,2017-11-19 00:00:10.018,1,Breakfast Burrito,Divinity Cafe 
ryanpond21,2017-11-18 00:00:00.028,1,Breakfast Burrito,Divinity Cafe 
ryanpond21,2017-11-17 00:00:00.048,1,Breakfast Burrito,Divinity Cafe 
ryanpond21,2017-11-16 00:00:00.058,1,Breakfast Burrito,Divinity Cafe 
ryanpond21,2017-11-15 00:02:00.018,1,Breakfast Burrito,Divinity Cafe 
ryanpond21,2017-11-16 00:00:10.018,1,Breakfast Burrito,Divinity Cafe 
teddyruby,2017-11-27 10:00:00.018,1,Lobster Macn Cheese,The Commons
teddyruby,2017-11-27 00:10:00.018,1,Three Cheese Ravioli,The Commons
teddyruby,2017-11-27 00:30:00.018,1,Lump Crab Cakes,The Commons
teddyruby,2017-11-27 00:00:00.018,1,New York Cheesecake,The Commons
teddyruby,2017-11-28 00:00:00.018,1,Cast Iron Chocolate Brownie,The Commons
teddyruby,2017-11-09 00:00:00.018,1,Shepards Pie,Farmstead
teddyruby,2017-12-08 03:30:00.001,1,Beef Stew,Farmstead
teddyruby,2017-12-08 11:00:00.002,1,Buffalo Mac and Cheese,Divinity Cafe 
teddyruby,2017-12-07 03:20:00.003,1,Southwest Burger,The Loop
teddyruby,2017-12-07 02:00:00.004,1,Mediterranean Pizza,The Loop
teddyruby,2017-12-06 00:00:00.005,1,Chow Mein,Panda Express
teddyruby,2017-12-06 10:00:00.006,1,Southwest Burger,The Loop
teddyruby,2017-12-05 00:00:00.007,1,Bacon Cheddar Burger,The Loop
teddyruby,2017-12-05 02:00:00.008,1,Rainbow,Gyotaku
teddyruby,2017-12-04 00:00:00.009,1,Kyles BBQ Pizza,Il Forno
teddyruby,2017-12-04 00:00:00.010,1,Greek Salad,Devils Krafthouse
teddyruby,2017-11-23 00:00:00.011,1,Chicken Tenders,The Loop
teddyruby,2017-11-29 00:00:00.012,1,Mac n Cheese,Skillet
teddyruby,2017-11-07 00:00:00.013,1,Southwest Burger,The Loop
teddyruby,2017-11-07 10:00:00.014,1,Ramen,Ginger and Soy
teddyruby,2017-11-07 11:00:00.015,1,Buffalo Mac and Cheese,Divinity Cafe 
teddyruby,2017-11-10 00:00:00.016,1,Bacon Cheddar Burger,The Loop
teddyruby,2017-11-10 00:00:00.017,1,Pancakes,Cafe Edens
teddyruby,2017-11-09 20:00:00.018,1,Rainbow,Gyotaku
teddyruby,2017-12-09 02:00:00.000,1,Crispy Shrimp 220,Panda Express
teddyruby,2017-12-08 00:20:00.001,1,Honey Walnut Shrimp 140,Panda Express
teddyruby,2017-12-08 01:02:00.002,1,Steamed Ginger Fish 2 oz,Panda Express
teddyruby,2017-12-08 03:00:20.003,1,Asiago Cheese Bagel,Au Bon Pain
teddyruby,2017-12-05 00:00:20.004,1,Thai Peanut Chicken Salad,Au Bon Pain
teddyruby,2017-12-01 00:01:00.005,1,Macaroni and Cheese (Small),Au Bon Pain
teddyruby,2017-12-02 10:00:00.006,1,Clam Chowder (Small),Au Bon Pain
teddyruby,2017-12-09 00:20:00.007,1,Harvest Pizza,Il Forno
teddyruby,2017-12-01 02:00:20.008,1,Margherita Pizza,Il Forno
teddyruby,2017-12-09 20:00:00.009,1,JBs Flank Steak,JBs Chophouse
teddyruby,2017-12-09 00:30:00.010,1,Cheesy Twice Baked Potato,JBs Chophouse
teddyruby,2017-11-29 00:01:00.011,1,Steamed Broccoli,JBs Chophouse
teddyruby,2017-11-28 00:00:10.012,1,Salmon,JBs Chophouse
teddyruby,2017-11-27 10:00:00.013,1,Mahi Mahi,JBs Chophouse
teddyruby,2017-11-27 10:01:00.014,1,Crispy Chicken Sandwich,Devils Krafthouse
teddyruby,2017-11-27 11:01:00.015,1,Green Dragon,Gyotaku
teddyruby,2017-11-10 00:10:00.016,1,Salmon Crunch Roll,Gyotaku
katie,2017-10-10 01:00:00.017,1,Salmon Avocado,Gyotaku
katie,2017-10-10 00:10:00.017,1,Spicy Tuna,Gyotaku
katie,2017-10-10 00:01:00.017,1,Chicken Caesar Salad,Devils Krafthouse
katie,2017-10-10 00:00:01.017,1,Greek Salad,Devils Krafthouse
katie,2017-10-10 00:00:10.017,1,Classic Burger,Devils Krafthouse
katie,2017-12-09 20:00:01.000,1,BBQ Burger,Devils Krafthouse
katie,2017-12-08 03:10:00.001,1,Krazy Burger,Devils Krafthouse
katie,2017-12-08 11:10:00.002,1,Taco,Devils Krafthouse
katie,2017-12-07 03:20:10.003,1,Greek Salad,Sprout
katie,2017-12-07 02:00:01.004,1,Spinach Pie,Sprout
katie,2017-12-06 00:00:10.005,1,Seiten Stir Fry,Sprout
katie,2017-12-06 10:01:00.006,1,Apple and Brie Crepe,Cafe
katie,2017-12-05 00:00:00.07,1,Cinnamon Sugar Crepe,Cafe
katie,2017-12-05 02:30:00.008,1,Nutella Crepe,Cafe
katie,2017-12-04 00:00:00.009,1,Eggplant Mozzarella Panini,Cafe
katie,2017-12-04 00:00:00.010,1,Chicken Alfredo Pasta (Large),Il Forno
katie,2017-11-23 00:00:00.011,1,Caesar Asiago Salad,Au Bon Pain
katie,2017-11-29 00:00:00.012,1,Southwest Chicken Salad,Au Bon Pain
katie,2017-11-07 00:00:00.013,1,Thai Peanut Chicken Salad,Au Bon Pain
katie,2017-11-07 10:00:00.014,1,Filet Mignon,The Commons
katie,2017-11-07 11:00:00.015,1,Ribeye,The Commons
katie,2017-11-10 00:00:00.016,1,Stuffed Chicken Breast,The Commons
katie,2017-11-10 00:00:00.017,1,Green Beans,Farmstead
katie,2017-11-01 00:00:00.017,1,Pork Belly,Farmstead
katie,2017-11-02 00:00:00.017,1,Banana Pudding,Skillet
katie,2017-11-02 10:10:00.006,1,Apple and Brie Crepe,Cafe
katie,2017-11-05 00:20:00.007,1,Cinnamon Sugar Crepe,Cafe
katie,2017-11-05 02:10:00.008,1,Nutella Crepe,Cafe
katie,2017-11-04 00:00:10.009,1,Eggplant Mozzarella Panini,Cafe
katie,2017-11-04 00:00:10.010,1,Chicken Alfredo Pasta (Large),Il Forno
katie,2017-10-23 00:00:00.011,1,Caesar Asiago Salad,Au Bon Pain
katie,2017-10-29 00:00:00.012,1,Southwest Chicken Salad,Au Bon Pain
katie,2017-10-07 00:00:00.013,1,Thai Peanut Chicken Salad,Au Bon Pain
katie,2017-10-07 10:00:00.014,1,Filet Mignon,The Commons
katie,2017-10-07 11:00:00.015,1,Ribeye,The Commons
katie,2017-10-10 00:00:00.016,1,Stuffed Chicken Breast,The Commons
katie,2017-11-10 00:00:20.017,1,Green Beans,Farmstead
katie,2017-11-10 00:10:00.017,1,Pork Belly,Farmstead
katie,2017-11-10 20:00:00.017,1,Banana Pudding,Skillet
